,Restaurant_id,Restaurant_link,Retaurant Name,Rating,price_for_one_two,Cousines
506,299589,https://www.swiggy.com/restaurants/wheat-barn-6th-block-koramangala-bangalore-299589,Wheat Barn,4.1,₹450 FOR TWO,"Pizzas, Desserts, Beverages, Snacks"
507,687158,https://www.swiggy.com/restaurants/ovenfresh-cakes-and-desserts-domlurlayout-domlur-layout-bangalore-687158,Ovenfresh Cakes and Desserts,--,₹200 FOR TWO,Italian
508,19316,https://www.swiggy.com/restaurants/patiala-nh-44-gandhi-bazar-main-road-basavanagudi-bangalore-19316,Patiala NH 44,3.8,₹500 FOR TWO,"Indian, Chinese, Tandoor"
509,531382,https://www.swiggy.com/restaurants/crustos-cheese-burst-pizza-cmh-road-indiranagar-bangalore-531382,Crusto's - Cheese Burst Pizza,4.1,₹300 FOR TWO,"Pizzas, Italian"
510,25798,https://www.swiggy.com/restaurants/1947-restaurant-margosa-road-malleshwaram-bangalore-25798,1947 Restaurant,4.4,₹900 FOR TWO,"North Indian, Chinese, Desserts, Biryani"
511,337997,https://www.swiggy.com/restaurants/taiki-3rd-block-jayanagar-bangalore-337997,Taiki,4.1,₹800 FOR TWO,"Japanese, Pan-Asian, Korean, Thai, Sushi, Beverages, Asian, Chinese"
512,647520,https://www.swiggy.com/restaurants/punjab-grill-shantala-nagar-ashok-nagar-bangalore-647520,Punjab Grill,4.2,₹900 FOR TWO,"North Indian, Kebabs, Biryani, Mughlai"
513,379573,https://www.swiggy.com/restaurants/maruthi-restaurant-4th-phase-rajajinagar-bangalore-379573,Maruthi Restaurant,4,₹150 FOR TWO,Indian
514,93802,https://www.swiggy.com/restaurants/anupams-coast-ii-coast-church-street-bangalore-93802,Anupams Coast II Coast,4.3,₹1200 FOR TWO,"Mangalorean, Chinese, North Indian, Mughlai, Punjabi, Awadhi"
515,18533,https://www.swiggy.com/restaurants/mangaluru-seafood-3rd-block-jayanagar-bangalore-18533,Mangaluru Seafood,4,₹500 FOR TWO,"Mangalorean, Seafood"
516,292413,https://www.swiggy.com/restaurants/the-salad-studio-paramahansa-yogananda-road-indiranagar-bangalore-292413,The Salad Studio,4.4,₹300 FOR TWO,"Healthy Food, Salads, Beverages"
517,481150,https://www.swiggy.com/restaurants/apna-dhaba-hanumanthanagar-basavanagudi-bangalore-481150,Apna dhaba,3.9,₹300 FOR TWO,"North Indian, Punjabi, Jain"
518,112315,https://www.swiggy.com/restaurants/candices-gourmet-sandwiches-double-road-indiranagar-bangalore-112315,Candice's Gourmet Sandwiches,4.6,₹650 FOR TWO,"Continental, American"
519,239413,https://www.swiggy.com/restaurants/just-shawarma-2nd-stage-indiranagar-bangalore-239413,Just Shawarma,4.3,₹180 FOR TWO,Arabian
520,8354,https://www.swiggy.com/restaurants/little-italy-7th-block-jayanagar-bangalore-8354,Little Italy,4.2,₹1200 FOR TWO,"Italian, Pizzas, Pastas, Salads, Desserts"
521,696230,https://www.swiggy.com/restaurants/itc-master-chef-creations-shivaji-nagar-dispensary-rd-bangalore-696230,ITC Master Chef Creations,4.5,₹650 FOR TWO,"North Indian, Biryani, Indian, Punjabi, Chaat, Kebabs, Tandoor, Mughlai, Dessert..."
522,331722,https://www.swiggy.com/restaurants/the-firewood-pizza-chikkadugodi-tavarekere-bangalore-331722,The Firewood Pizza,3.7,₹150 FOR TWO,"Italian, Pizzas, Pastas"
523,5897,https://www.swiggy.com/restaurants/biriyani-paradise-dakshin-wilson-garden-shanti-nagar-bangalore-5897,Biriyani Paradise (Dakshin),4.2,₹250 FOR TWO,"Andhra, South Indian, Biryani"
524,430368,https://www.swiggy.com/restaurants/kebapci-6th-block-koramangala-bangalore-430368,Kebapci,4.3,₹600 FOR TWO,"Turkish, Middle Eastern, Lebanese"
525,382755,https://www.swiggy.com/restaurants/savera-cafe-hkp-road-shivajinagar-bangalore-382755,Savera Cafe,4.3,₹100 FOR TWO,"Snacks, Beverages"
526,153876,https://www.swiggy.com/restaurants/the-kolkata-katiroll-1st-stage-indiranagar-bangalore-153876,The Kolkata Katiroll,4.1,₹200 FOR TWO,"Snacks, Beverages, Chinese"
527,578504,https://www.swiggy.com/restaurants/new-prakriti-deluxe-4th-block-rajajinagar-bangalore-578504,New Prakriti Deluxe,3.8,₹350 FOR TWO,"Indian, Biryani, Chinese, Snacks"
528,577199,https://www.swiggy.com/restaurants/pablos-sandwiches-3rd-block-koramangala-bangalore-577199,Pablo's Sandwiches,4.4,₹250 FOR TWO,"Healthy Food, American, European, Bakery, Juices, Sweets, Snacks, Cafe, Fast Foo..."
529,600209,https://www.swiggy.com/restaurants/the-momos-and-chaap-hal-2nd-stage-indiranagar-bangalore-600209,The Momos And Chaap,4.1,₹400 FOR TWO,"Indian, Beverages, Chinese"
530,534654,https://www.swiggy.com/restaurants/the-licious-kitchen-6th-block-koramangala-bangalore-534654,The Licious Kitchen,4.2,₹350 FOR TWO,"Kebabs, Snacks, Tandoor, North Indian, Beverages"
531,33253,https://www.swiggy.com/restaurants/happy-belly-bakes-cakes-and-desserts-primrose-road-m-g-road-bangalore-33253,Happy Belly Bakes- Cakes and Desserts,4.6,₹500 FOR TWO,"Desserts, Bakery, Snacks, Keto, Beverages"
532,651837,https://www.swiggy.com/restaurants/ammaiyar-restaurant-meanee-ave-rd-frazer-town-bangalore-651837,Ammaiyar Restaurant,4.3,₹449 FOR TWO,"Chinese, Indian, Seafood, Arabian"
533,709386,https://www.swiggy.com/restaurants/sana-kitchen-prakash-nagar-rajajinagar-bangalore-709386,Sana Kitchen,--,₹300 FOR TWO,"Biryani, Chinese, Kebabs"
534,14360,https://www.swiggy.com/restaurants/plan-b-ashok-nagar-bangalore-14360,Plan B,4.2,₹1200 FOR TWO,American
535,439628,https://www.swiggy.com/restaurants/madno-house-of-sundaes-brigade-road-bangalore-439628,Madno - House of Sundaes,3.9,₹250 FOR TWO,"Desserts, Ice Cream, Beverages"
536,554797,https://www.swiggy.com/restaurants/star-imperial-ashwini-layout-ejipura-bangalore-554797,Star Imperial,--,₹200 FOR TWO,"Biryani, Kebabs"
537,516465,https://www.swiggy.com/restaurants/doosri-biwi-4th-block-jayanagar-bangalore-516465,Doosri Biwi,4.2,₹400 FOR TWO,Snacks
538,613015,https://www.swiggy.com/restaurants/bengaluru-donne-biriyani-katte-gandhi-nagar-majestic-bangalore-613015,Bengaluru Donne Biriyani Katte,--,₹350 FOR TWO,"Biryani, South Indian, Indian"
539,499477,https://www.swiggy.com/restaurants/1bhk-bar-house-kitchen-koramangala-bangalore-499477,1BHK- Bar House Kitchen,4.3,₹800 FOR TWO,"Snacks, Indian, Fast Food"
540,685134,https://www.swiggy.com/restaurants/rolls-venue-lic-colony-jayanagar-bangalore-685134,Rolls Venue,--,₹120 FOR TWO,"Snacks, Chinese, Biryani"
541,184792,https://www.swiggy.com/restaurants/karavali-kolimane-wilson-garden-shanti-nagar-bangalore-184792,Karavali Kolimane,4,₹400 FOR TWO,"South Indian, Chinese, Tandoor, North Indian"
542,697145,https://www.swiggy.com/restaurants/gourmet-ice-cream-cakes-by-baskin-robbins-garuda-mall-magarath-road-bangalore-697145,Gourmet Ice Cream Cakes by Baskin Robbins,--,₹200 FOR TWO,"Ice Cream Cakes, Desserts, Ice Cream, Bakery"
